r1,r2,r3,support,body,confidence,example_1,example_2,example_3
secondAuntOf,boySecondCousinOf,auntOf,47,78,0.6025641025641025,selina10-[secondAuntOf]->fabian26-[boySecondCousinOf]->elias6 => selina10-[auntOf]->elias6,selina10-[secondAuntOf]->fabian26-[boySecondCousinOf]->lisa5 => selina10-[auntOf]->lisa5,selina10-[secondAuntOf]->fabian26-[boySecondCousinOf]->nico4 => selina10-[auntOf]->nico4
brotherOf,uncleOf,uncleOf,227,377,0.6021220159151194,oskar24-[brotherOf]->adam9-[uncleOf]->elias6 => oskar24-[uncleOf]->elias6,oskar24-[brotherOf]->adam9-[uncleOf]->lisa5 => oskar24-[uncleOf]->lisa5,oskar24-[brotherOf]->adam9-[uncleOf]->nico4 => oskar24-[uncleOf]->nico4
girlCousinOf,boyCousinOf,sisterOf,201,336,0.5982142857142857,olivia0-[girlCousinOf]->leon16-[boyCousinOf]->adam9 => olivia0-[sisterOf]->adam9,olivia0-[girlCousinOf]->leon16-[boyCousinOf]->oskar24 => olivia0-[sisterOf]->oskar24,olivia0-[girlCousinOf]->leon16-[boyCousinOf]->isabella11 => olivia0-[sisterOf]->isabella11
nephewOf,brotherOf,nephewOf,239,400,0.5975,jonas23-[nephewOf]->luis14-[brotherOf]->katharina1 => jonas23-[nephewOf]->katharina1,jonas23-[nephewOf]->luis14-[brotherOf]->natalie13 => jonas23-[nephewOf]->natalie13,oskar24-[nephewOf]->luis14-[brotherOf]->paula12 => oskar24-[nephewOf]->paula12
sonOf,greatGrandfatherOf,grandfatherOf,304,513,0.5925925925925926,luis14-[sonOf]->moritz8-[greatGrandfatherOf]->lena18 => luis14-[grandfatherOf]->lena18,dominik2-[sonOf]->david20-[greatGrandfatherOf]->elias6 => dominik2-[grandfatherOf]->elias6,dominik2-[sonOf]->david20-[greatGrandfatherOf]->lisa5 => dominik2-[grandfatherOf]->lisa5
secondAuntOf,girlFirstCousinOnceRemovedOf,sisterOf,87,147,0.5918367346938775,olivia0-[secondAuntOf]->lena18-[girlFirstCousinOnceRemovedOf]->adam9 => olivia0-[sisterOf]->adam9,olivia0-[secondAuntOf]->lena18-[girlFirstCousinOnceRemovedOf]->oskar24 => olivia0-[sisterOf]->oskar24,olivia0-[secondAuntOf]->lena18-[girlFirstCousinOnceRemovedOf]->isabella11 => olivia0-[sisterOf]->isabella11
girlCousinOf,nephewOf,nieceOf,201,340,0.5911764705882353,olivia0-[girlCousinOf]->leon16-[nephewOf]->paula12 => olivia0-[nieceOf]->paula12,olivia0-[girlCousinOf]->leon16-[nephewOf]->natalie13 => olivia0-[nieceOf]->natalie13,olivia0-[girlCousinOf]->jonas23-[nephewOf]->natalie13 => olivia0-[nieceOf]->natalie13
auntOf,secondAuntOf,greatAuntOf,89,151,0.5894039735099338,katharina1-[auntOf]->johanna22-[secondAuntOf]->lena18 => katharina1-[greatAuntOf]->lena18,paula12-[auntOf]->olivia0-[secondAuntOf]->lena18 => paula12-[greatAuntOf]->lena18,paula12-[auntOf]->isabella11-[secondAuntOf]->lena18 => paula12-[greatAuntOf]->lena18
motherOf,girlSecondCousinOf,secondAuntOf,30,51,0.5882352941176471,olivia0-[motherOf]->lisa5-[girlSecondCousinOf]->fabian26 => olivia0-[secondAuntOf]->fabian26,olivia0-[motherOf]->lisa5-[girlSecondCousinOf]->lena18 => olivia0-[secondAuntOf]->lena18,marlene86-[motherOf]->emily102-[girlSecondCousinOf]->lukas93 => marlene86-[secondAuntOf]->lukas93
daughterOf,grandfatherOf,auntOf,511,874,0.5846681922196796,katharina1-[daughterOf]->moritz8-[grandfatherOf]->johanna22 => katharina1-[auntOf]->johanna22,katharina1-[daughterOf]->moritz8-[grandfatherOf]->leon16 => katharina1-[auntOf]->leon16,katharina1-[daughterOf]->moritz8-[grandfatherOf]->jonas23 => katharina1-[auntOf]->jonas23
sonOf,greatGrandmotherOf,grandfatherOf,183,314,0.5828025477707006,luis14-[sonOf]->emma7-[greatGrandmotherOf]->lena18 => luis14-[grandfatherOf]->lena18,dominik2-[sonOf]->ella19-[greatGrandmotherOf]->elias6 => dominik2-[grandfatherOf]->elias6,dominik2-[sonOf]->ella19-[greatGrandmotherOf]->lisa5 => dominik2-[grandfatherOf]->lisa5
greatAuntOf,girlSecondCousinOf,greatAuntOf,32,55,0.5818181818181818,katharina1-[greatAuntOf]->lena18-[girlSecondCousinOf]->fabian26 => katharina1-[greatAuntOf]->fabian26,paula12-[greatAuntOf]->lisa5-[girlSecondCousinOf]->lena18 => paula12-[greatAuntOf]->lena18,paula12-[greatAuntOf]->lena18-[girlSecondCousinOf]->lisa5 => paula12-[greatAuntOf]->lisa5
motherOf,secondAuntOf,greatAuntOf,75,129,0.5813953488372093,katharina1-[motherOf]->isabella11-[secondAuntOf]->fabian26 => katharina1-[greatAuntOf]->fabian26,katharina1-[motherOf]->isabella11-[secondAuntOf]->lena18 => katharina1-[greatAuntOf]->lena18,katharina1-[motherOf]->selina10-[secondAuntOf]->fabian26 => katharina1-[greatAuntOf]->fabian26
boyFirstCousinOnceRemovedOf,girlCousinOf,nephewOf,130,224,0.5803571428571429,fabian26-[boyFirstCousinOnceRemovedOf]->olivia0-[girlCousinOf]->johanna22 => fabian26-[nephewOf]->johanna22,fabian26-[boyFirstCousinOnceRemovedOf]->isabella11-[girlCousinOf]->johanna22 => fabian26-[nephewOf]->johanna22,fabian26-[boyFirstCousinOnceRemovedOf]->selina10-[girlCousinOf]->johanna22 => fabian26-[nephewOf]->johanna22
auntOf,boyCousinOf,auntOf,210,362,0.580110497237569,katharina1-[auntOf]->leon16-[boyCousinOf]->johanna22 => katharina1-[auntOf]->johanna22,katharina1-[auntOf]->leon16-[boyCousinOf]->jonas23 => katharina1-[auntOf]->jonas23,katharina1-[auntOf]->jonas23-[boyCousinOf]->leon16 => katharina1-[auntOf]->leon16
boyCousinOf,nieceOf,nephewOf,182,314,0.5796178343949044,leon16-[boyCousinOf]->johanna22-[nieceOf]->katharina1 => leon16-[nephewOf]->katharina1,leon16-[boyCousinOf]->johanna22-[nieceOf]->natalie13 => leon16-[nephewOf]->natalie13,leon16-[boyCousinOf]->olivia0-[nieceOf]->paula12 => leon16-[nephewOf]->paula12
greatAuntOf,boyFirstCousinOnceRemovedOf,auntOf,88,152,0.5789473684210527,katharina1-[greatAuntOf]->fabian26-[boyFirstCousinOnceRemovedOf]->leon16 => katharina1-[auntOf]->leon16,paula12-[greatAuntOf]->elias6-[boyFirstCousinOnceRemovedOf]->leon16 => paula12-[auntOf]->leon16,paula12-[greatAuntOf]->nico4-[boyFirstCousinOnceRemovedOf]->leon16 => paula12-[auntOf]->leon16
motherOf,girlCousinOf,auntOf,166,289,0.5743944636678201,katharina1-[motherOf]->isabella11-[girlCousinOf]->leon16 => katharina1-[auntOf]->leon16,katharina1-[motherOf]->isabella11-[girlCousinOf]->jonas23 => katharina1-[auntOf]->jonas23,katharina1-[motherOf]->isabella11-[girlCousinOf]->johanna22 => katharina1-[auntOf]->johanna22
boySecondCousinOf,boyFirstCousinOnceRemovedOf,nephewOf,39,68,0.5735294117647058,fabian26-[boySecondCousinOf]->elias6-[boyFirstCousinOnceRemovedOf]->johanna22 => fabian26-[nephewOf]->johanna22,fabian26-[boySecondCousinOf]->nico4-[boyFirstCousinOnceRemovedOf]->johanna22 => fabian26-[nephewOf]->johanna22,nico4-[boySecondCousinOf]->fabian26-[boyFirstCousinOnceRemovedOf]->adam9 => nico4-[nephewOf]->adam9
greatAuntOf,girlFirstCousinOnceRemovedOf,auntOf,87,153,0.5686274509803921,katharina1-[greatAuntOf]->lena18-[girlFirstCousinOnceRemovedOf]->johanna22 => katharina1-[auntOf]->johanna22,katharina1-[greatAuntOf]->lena18-[girlFirstCousinOnceRemovedOf]->jonas23 => katharina1-[auntOf]->jonas23,paula12-[greatAuntOf]->lisa5-[girlFirstCousinOnceRemovedOf]->leon16 => paula12-[auntOf]->leon16
girlCousinOf,nieceOf,nieceOf,188,333,0.5645645645645646,olivia0-[girlCousinOf]->johanna22-[nieceOf]->natalie13 => olivia0-[nieceOf]->natalie13,olivia0-[girlCousinOf]->johanna22-[nieceOf]->luis14 => olivia0-[nieceOf]->luis14,selina10-[girlCousinOf]->johanna22-[nieceOf]->natalie13 => selina10-[nieceOf]->natalie13
brotherOf,auntOf,uncleOf,244,433,0.5635103926096998,luis14-[brotherOf]->katharina1-[auntOf]->jonas23 => luis14-[uncleOf]->jonas23,luis14-[brotherOf]->katharina1-[auntOf]->johanna22 => luis14-[uncleOf]->johanna22,luis14-[brotherOf]->paula12-[auntOf]->adam9 => luis14-[uncleOf]->adam9
auntOf,grandsonOf,daughterOf,259,460,0.5630434782608695,katharina1-[auntOf]->leon16-[grandsonOf]->moritz8 => katharina1-[daughterOf]->moritz8,katharina1-[auntOf]->leon16-[grandsonOf]->emma7 => katharina1-[daughterOf]->emma7,katharina1-[auntOf]->jonas23-[grandsonOf]->moritz8 => katharina1-[daughterOf]->moritz8
greatAuntOf,boySecondCousinOf,greatAuntOf,27,48,0.5625,katharina1-[greatAuntOf]->fabian26-[boySecondCousinOf]->lena18 => katharina1-[greatAuntOf]->lena18,paula12-[greatAuntOf]->elias6-[boySecondCousinOf]->lena18 => paula12-[greatAuntOf]->lena18,paula12-[greatAuntOf]->nico4-[boySecondCousinOf]->lena18 => paula12-[greatAuntOf]->lena18
greatUncleOf,boySecondCousinOf,grandfatherOf,27,48,0.5625,luis14-[greatUncleOf]->fabian26-[boySecondCousinOf]->lena18 => luis14-[grandfatherOf]->lena18,luis14-[greatUncleOf]->elias6-[boySecondCousinOf]->lena18 => luis14-[grandfatherOf]->lena18,luis14-[greatUncleOf]->nico4-[boySecondCousinOf]->lena18 => luis14-[grandfatherOf]->lena18
brotherOf,greatAuntOf,grandfatherOf,140,250,0.56,luis14-[brotherOf]->katharina1-[greatAuntOf]->lena18 => luis14-[grandfatherOf]->lena18,luis14-[brotherOf]->paula12-[greatAuntOf]->lena18 => luis14-[grandfatherOf]->lena18,luis14-[brotherOf]->natalie13-[greatAuntOf]->lena18 => luis14-[grandfatherOf]->lena18
grandsonOf,fatherOf,nephewOf,458,820,0.5585365853658537,leon16-[grandsonOf]->moritz8-[fatherOf]->paula12 => leon16-[nephewOf]->paula12,leon16-[grandsonOf]->moritz8-[fatherOf]->natalie13 => leon16-[nephewOf]->natalie13,jonas23-[grandsonOf]->moritz8-[fatherOf]->luis14 => jonas23-[nephewOf]->luis14
grandsonOf,motherOf,nephewOf,458,820,0.5585365853658537,leon16-[grandsonOf]->emma7-[motherOf]->paula12 => leon16-[nephewOf]->paula12,leon16-[grandsonOf]->emma7-[motherOf]->natalie13 => leon16-[nephewOf]->natalie13,jonas23-[grandsonOf]->emma7-[motherOf]->luis14 => jonas23-[nephewOf]->luis14
greatAuntOf,greatGranddaughterOf,daughterOf,134,240,0.5583333333333333,katharina1-[greatAuntOf]->lena18-[greatGranddaughterOf]->moritz8 => katharina1-[daughterOf]->moritz8,katharina1-[greatAuntOf]->lena18-[greatGranddaughterOf]->emma7 => katharina1-[daughterOf]->emma7,paula12-[greatAuntOf]->lisa5-[greatGranddaughterOf]->moritz8 => paula12-[daughterOf]->moritz8
nephewOf,auntOf,brotherOf,296,531,0.5574387947269304,jonas23-[nephewOf]->katharina1-[auntOf]->johanna22 => jonas23-[brotherOf]->johanna22,jonas23-[nephewOf]->natalie13-[auntOf]->johanna22 => jonas23-[brotherOf]->johanna22,oskar24-[nephewOf]->paula12-[auntOf]->adam9 => oskar24-[brotherOf]->adam9
uncleOf,boyCousinOf,uncleOf,150,270,0.5555555555555556,luis14-[uncleOf]->adam9-[boyCousinOf]->jonas23 => luis14-[uncleOf]->jonas23,luis14-[uncleOf]->adam9-[boyCousinOf]->johanna22 => luis14-[uncleOf]->johanna22,luis14-[uncleOf]->oskar24-[boyCousinOf]->jonas23 => luis14-[uncleOf]->jonas23
motherOf,boyCousinOf,auntOf,140,252,0.5555555555555556,katharina1-[motherOf]->oskar24-[boyCousinOf]->leon16 => katharina1-[auntOf]->leon16,katharina1-[motherOf]->oskar24-[boyCousinOf]->jonas23 => katharina1-[auntOf]->jonas23,katharina1-[motherOf]->oskar24-[boyCousinOf]->johanna22 => katharina1-[auntOf]->johanna22
granddaughterOf,fatherOf,nieceOf,438,792,0.553030303030303,olivia0-[granddaughterOf]->moritz8-[fatherOf]->luis14 => olivia0-[nieceOf]->luis14,olivia0-[granddaughterOf]->moritz8-[fatherOf]->paula12 => olivia0-[nieceOf]->paula12,olivia0-[granddaughterOf]->moritz8-[fatherOf]->natalie13 => olivia0-[nieceOf]->natalie13
granddaughterOf,motherOf,nieceOf,438,792,0.553030303030303,olivia0-[granddaughterOf]->emma7-[motherOf]->luis14 => olivia0-[nieceOf]->luis14,olivia0-[granddaughterOf]->emma7-[motherOf]->paula12 => olivia0-[nieceOf]->paula12,olivia0-[granddaughterOf]->emma7-[motherOf]->natalie13 => olivia0-[nieceOf]->natalie13
auntOf,secondUncleOf,greatAuntOf,71,129,0.5503875968992248,katharina1-[auntOf]->leon16-[secondUncleOf]->fabian26 => katharina1-[greatAuntOf]->fabian26,katharina1-[auntOf]->jonas23-[secondUncleOf]->lena18 => katharina1-[greatAuntOf]->lena18,paula12-[auntOf]->adam9-[secondUncleOf]->lena18 => paula12-[greatAuntOf]->lena18
fatherOf,greatGrandsonOf,grandsonOf,220,400,0.55,jonas23-[fatherOf]->fabian26-[greatGrandsonOf]->moritz8 => jonas23-[grandsonOf]->moritz8,jonas23-[fatherOf]->fabian26-[greatGrandsonOf]->emma7 => jonas23-[grandsonOf]->emma7,marcel27-[fatherOf]->raphael29-[greatGrandsonOf]->karin41 => marcel27-[grandsonOf]->karin41
grandsonOf,grandfatherOf,brotherOf,473,864,0.5474537037037037,jonas23-[grandsonOf]->moritz8-[grandfatherOf]->johanna22 => jonas23-[brotherOf]->johanna22,oskar24-[grandsonOf]->david20-[grandfatherOf]->adam9 => oskar24-[brotherOf]->adam9,oskar24-[grandsonOf]->david20-[grandfatherOf]->olivia0 => oskar24-[brotherOf]->olivia0
grandsonOf,grandmotherOf,brotherOf,473,864,0.5474537037037037,jonas23-[grandsonOf]->emma7-[grandmotherOf]->johanna22 => jonas23-[brotherOf]->johanna22,oskar24-[grandsonOf]->emma7-[grandmotherOf]->adam9 => oskar24-[brotherOf]->adam9,oskar24-[grandsonOf]->emma7-[grandmotherOf]->olivia0 => oskar24-[brotherOf]->olivia0
boyCousinOf,nephewOf,nephewOf,159,292,0.5445205479452054,leon16-[boyCousinOf]->adam9-[nephewOf]->paula12 => leon16-[nephewOf]->paula12,leon16-[boyCousinOf]->adam9-[nephewOf]->natalie13 => leon16-[nephewOf]->natalie13,leon16-[boyCousinOf]->oskar24-[nephewOf]->paula12 => leon16-[nephewOf]->paula12
auntOf,granddaughterOf,daughterOf,214,394,0.5431472081218274,katharina1-[auntOf]->johanna22-[granddaughterOf]->moritz8 => katharina1-[daughterOf]->moritz8,katharina1-[auntOf]->johanna22-[granddaughterOf]->emma7 => katharina1-[daughterOf]->emma7,selina10-[auntOf]->lisa5-[granddaughterOf]->katharina1 => selina10-[daughterOf]->katharina1
boyCousinOf,secondAuntOf,uncleOf,116,214,0.5420560747663551,oskar24-[boyCousinOf]->johanna22-[secondAuntOf]->elias6 => oskar24-[uncleOf]->elias6,oskar24-[boyCousinOf]->johanna22-[secondAuntOf]->lisa5 => oskar24-[uncleOf]->lisa5,oskar24-[boyCousinOf]->johanna22-[secondAuntOf]->nico4 => oskar24-[uncleOf]->nico4
girlSecondCousinOf,girlSecondCousinOf,sisterOf,13,24,0.5416666666666666,lisa5-[girlSecondCousinOf]->lena18-[girlSecondCousinOf]->elias6 => lisa5-[sisterOf]->elias6,lisa5-[girlSecondCousinOf]->lena18-[girlSecondCousinOf]->nico4 => lisa5-[sisterOf]->nico4,alina123-[girlSecondCousinOf]->marlene127-[girlSecondCousinOf]->emilia130 => alina123-[sisterOf]->emilia130
motherOf,nieceOf,sisterOf,186,344,0.5406976744186046,olivia0-[motherOf]->lisa5-[nieceOf]->oskar24 => olivia0-[sisterOf]->oskar24,olivia0-[motherOf]->lisa5-[nieceOf]->adam9 => olivia0-[sisterOf]->adam9,olivia0-[motherOf]->lisa5-[nieceOf]->isabella11 => olivia0-[sisterOf]->isabella11
girlCousinOf,secondAuntOf,auntOf,104,193,0.538860103626943,selina10-[girlCousinOf]->johanna22-[secondAuntOf]->elias6 => selina10-[auntOf]->elias6,selina10-[girlCousinOf]->johanna22-[secondAuntOf]->lisa5 => selina10-[auntOf]->lisa5,selina10-[girlCousinOf]->johanna22-[secondAuntOf]->nico4 => selina10-[auntOf]->nico4
greatUncleOf,girlSecondCousinOf,grandfatherOf,22,41,0.5365853658536586,luis14-[greatUncleOf]->lisa5-[girlSecondCousinOf]->lena18 => luis14-[grandfatherOf]->lena18,theodor105-[greatUncleOf]->marlene127-[girlSecondCousinOf]->emilia130 => theodor105-[grandfatherOf]->emilia130,theodor105-[greatUncleOf]->marlene127-[girlSecondCousinOf]->alina123 => theodor105-[grandfatherOf]->alina123
granddaughterOf,grandfatherOf,sisterOf,511,956,0.5345188284518828,olivia0-[granddaughterOf]->david20-[grandfatherOf]->adam9 => olivia0-[sisterOf]->adam9,olivia0-[granddaughterOf]->david20-[grandfatherOf]->oskar24 => olivia0-[sisterOf]->oskar24,olivia0-[granddaughterOf]->david20-[grandfatherOf]->isabella11 => olivia0-[sisterOf]->isabella11
granddaughterOf,grandmotherOf,sisterOf,511,956,0.5345188284518828,olivia0-[granddaughterOf]->emma7-[grandmotherOf]->oskar24 => olivia0-[sisterOf]->oskar24,olivia0-[granddaughterOf]->emma7-[grandmotherOf]->adam9 => olivia0-[sisterOf]->adam9,olivia0-[granddaughterOf]->emma7-[grandmotherOf]->isabella11 => olivia0-[sisterOf]->isabella11
daughterOf,greatGrandmotherOf,greatAuntOf,182,342,0.5321637426900585,katharina1-[daughterOf]->emma7-[greatGrandmotherOf]->lena18 => katharina1-[greatAuntOf]->lena18,katharina1-[daughterOf]->emma7-[greatGrandmotherOf]->fabian26 => katharina1-[greatAuntOf]->fabian26,paula12-[daughterOf]->emma7-[greatGrandmotherOf]->lena18 => paula12-[greatAuntOf]->lena18
nephewOf,uncleOf,brotherOf,196,369,0.5311653116531165,jonas23-[nephewOf]->luis14-[uncleOf]->johanna22 => jonas23-[brotherOf]->johanna22,oskar24-[nephewOf]->luis14-[uncleOf]->adam9 => oskar24-[brotherOf]->adam9,oskar24-[nephewOf]->luis14-[uncleOf]->olivia0 => oskar24-[brotherOf]->olivia0
nieceOf,uncleOf,sisterOf,236,445,0.5303370786516854,olivia0-[nieceOf]->luis14-[uncleOf]->adam9 => olivia0-[sisterOf]->adam9,olivia0-[nieceOf]->luis14-[uncleOf]->oskar24 => olivia0-[sisterOf]->oskar24,olivia0-[nieceOf]->luis14-[uncleOf]->isabella11 => olivia0-[sisterOf]->isabella11
nieceOf,auntOf,sisterOf,302,571,0.5288966725043783,olivia0-[nieceOf]->paula12-[auntOf]->adam9 => olivia0-[sisterOf]->adam9,olivia0-[nieceOf]->paula12-[auntOf]->oskar24 => olivia0-[sisterOf]->oskar24,olivia0-[nieceOf]->paula12-[auntOf]->isabella11 => olivia0-[sisterOf]->isabella11
greatGranddaughterOf,fatherOf,granddaughterOf,261,494,0.52834008097166,lena18-[greatGranddaughterOf]->moritz8-[fatherOf]->luis14 => lena18-[granddaughterOf]->luis14,lisa5-[greatGranddaughterOf]->david20-[fatherOf]->dominik2 => lisa5-[granddaughterOf]->dominik2,hannah39-[greatGranddaughterOf]->marcel27-[fatherOf]->raphael29 => hannah39-[granddaughterOf]->raphael29
greatGranddaughterOf,motherOf,granddaughterOf,261,494,0.52834008097166,lena18-[greatGranddaughterOf]->emma7-[motherOf]->luis14 => lena18-[granddaughterOf]->luis14,lisa5-[greatGranddaughterOf]->ella19-[motherOf]->dominik2 => lisa5-[granddaughterOf]->dominik2,hannah39-[greatGranddaughterOf]->sofia28-[motherOf]->raphael29 => hannah39-[granddaughterOf]->raphael29
greatGrandsonOf,fatherOf,grandsonOf,282,535,0.5271028037383177,fabian26-[greatGrandsonOf]->moritz8-[fatherOf]->paula12 => fabian26-[grandsonOf]->paula12,nico4-[greatGrandsonOf]->david20-[fatherOf]->dominik2 => nico4-[grandsonOf]->dominik2,elias6-[greatGrandsonOf]->david20-[fatherOf]->dominik2 => elias6-[grandsonOf]->dominik2
greatGrandsonOf,motherOf,grandsonOf,282,535,0.5271028037383177,fabian26-[greatGrandsonOf]->emma7-[motherOf]->paula12 => fabian26-[grandsonOf]->paula12,nico4-[greatGrandsonOf]->ella19-[motherOf]->dominik2 => nico4-[grandsonOf]->dominik2,elias6-[greatGrandsonOf]->ella19-[motherOf]->dominik2 => elias6-[grandsonOf]->dominik2
nephewOf,greatAuntOf,uncleOf,221,420,0.5261904761904762,oskar24-[nephewOf]->paula12-[greatAuntOf]->elias6 => oskar24-[uncleOf]->elias6,oskar24-[nephewOf]->paula12-[greatAuntOf]->lisa5 => oskar24-[uncleOf]->lisa5,oskar24-[nephewOf]->paula12-[greatAuntOf]->nico4 => oskar24-[uncleOf]->nico4
fatherOf,greatGranddaughterOf,grandsonOf,216,412,0.5242718446601942,leon16-[fatherOf]->lena18-[greatGranddaughterOf]->moritz8 => leon16-[grandsonOf]->moritz8,leon16-[fatherOf]->lena18-[greatGranddaughterOf]->emma7 => leon16-[grandsonOf]->emma7,raphael29-[fatherOf]->marie43-[greatGranddaughterOf]->alina32 => raphael29-[grandsonOf]->alina32
fatherOf,secondUncleOf,greatUncleOf,56,107,0.5233644859813084,luis14-[fatherOf]->leon16-[secondUncleOf]->fabian26 => luis14-[greatUncleOf]->fabian26,luis14-[fatherOf]->leon16-[secondUncleOf]->lisa5 => luis14-[greatUncleOf]->lisa5,luis14-[fatherOf]->leon16-[secondUncleOf]->elias6 => luis14-[greatUncleOf]->elias6
fatherOf,boyFirstCousinOnceRemovedOf,boyCousinOf,71,136,0.5220588235294118,jonas23-[fatherOf]->fabian26-[boyFirstCousinOnceRemovedOf]->adam9 => jonas23-[boyCousinOf]->adam9,jonas23-[fatherOf]->fabian26-[boyFirstCousinOnceRemovedOf]->leon16 => jonas23-[boyCousinOf]->leon16,jonas23-[fatherOf]->fabian26-[boyFirstCousinOnceRemovedOf]->oskar24 => jonas23-[boyCousinOf]->oskar24
boyCousinOf,secondUncleOf,uncleOf,98,189,0.5185185185185185,oskar24-[boyCousinOf]->leon16-[secondUncleOf]->lisa5 => oskar24-[uncleOf]->lisa5,oskar24-[boyCousinOf]->leon16-[secondUncleOf]->elias6 => oskar24-[uncleOf]->elias6,oskar24-[boyCousinOf]->leon16-[secondUncleOf]->nico4 => oskar24-[uncleOf]->nico4
daughterOf,greatGrandfatherOf,greatAuntOf,297,574,0.5174216027874564,katharina1-[daughterOf]->moritz8-[greatGrandfatherOf]->lena18 => katharina1-[greatAuntOf]->lena18,katharina1-[daughterOf]->moritz8-[greatGrandfatherOf]->fabian26 => katharina1-[greatAuntOf]->fabian26,paula12-[daughterOf]->moritz8-[greatGrandfatherOf]->lena18 => paula12-[greatAuntOf]->lena18
greatUncleOf,greatGranddaughterOf,sonOf,99,192,0.515625,luis14-[greatUncleOf]->lisa5-[greatGranddaughterOf]->moritz8 => luis14-[sonOf]->moritz8,luis14-[greatUncleOf]->lisa5-[greatGranddaughterOf]->emma7 => luis14-[sonOf]->emma7,philipp70-[greatUncleOf]->claudia69-[greatGranddaughterOf]->charlotte60 => philipp70-[sonOf]->charlotte60
uncleOf,girlCousinOf,uncleOf,152,295,0.5152542372881356,luis14-[uncleOf]->johanna22-[girlCousinOf]->adam9 => luis14-[uncleOf]->adam9,luis14-[uncleOf]->johanna22-[girlCousinOf]->oskar24 => luis14-[uncleOf]->oskar24,luis14-[uncleOf]->johanna22-[girlCousinOf]->olivia0 => luis14-[uncleOf]->olivia0
grandfatherOf,girlFirstCousinOnceRemovedOf,uncleOf,72,140,0.5142857142857142,luis14-[grandfatherOf]->lena18-[girlFirstCousinOnceRemovedOf]->johanna22 => luis14-[uncleOf]->johanna22,luis14-[grandfatherOf]->lena18-[girlFirstCousinOnceRemovedOf]->adam9 => luis14-[uncleOf]->adam9,luis14-[grandfatherOf]->lena18-[girlFirstCousinOnceRemovedOf]->oskar24 => luis14-[uncleOf]->oskar24
sonOf,grandfatherOf,uncleOf,397,774,0.5129198966408268,luis14-[sonOf]->moritz8-[grandfatherOf]->johanna22 => luis14-[uncleOf]->johanna22,luis14-[sonOf]->moritz8-[grandfatherOf]->oskar24 => luis14-[uncleOf]->oskar24,luis14-[sonOf]->moritz8-[grandfatherOf]->adam9 => luis14-[uncleOf]->adam9
motherOf,nephewOf,sisterOf,166,325,0.5107692307692308,olivia0-[motherOf]->elias6-[nephewOf]->oskar24 => olivia0-[sisterOf]->oskar24,olivia0-[motherOf]->elias6-[nephewOf]->adam9 => olivia0-[sisterOf]->adam9,olivia0-[motherOf]->elias6-[nephewOf]->isabella11 => olivia0-[sisterOf]->isabella11
greatUncleOf,girlFirstCousinOnceRemovedOf,uncleOf,53,104,0.5096153846153846,luis14-[greatUncleOf]->lisa5-[girlFirstCousinOnceRemovedOf]->jonas23 => luis14-[uncleOf]->jonas23,luis14-[greatUncleOf]->lisa5-[girlFirstCousinOnceRemovedOf]->johanna22 => luis14-[uncleOf]->johanna22,jonas101-[greatUncleOf]->gertrude97-[girlFirstCousinOnceRemovedOf]->lukas93 => jonas101-[uncleOf]->lukas93
boyFirstCousinOnceRemovedOf,boyCousinOf,nephewOf,100,197,0.5076142131979695,fabian26-[boyFirstCousinOnceRemovedOf]->adam9-[boyCousinOf]->johanna22 => fabian26-[nephewOf]->johanna22,fabian26-[boyFirstCousinOnceRemovedOf]->leon16-[boyCousinOf]->johanna22 => fabian26-[nephewOf]->johanna22,fabian26-[boyFirstCousinOnceRemovedOf]->oskar24-[boyCousinOf]->johanna22 => fabian26-[nephewOf]->johanna22
boyFirstCousinOnceRemovedOf,secondAuntOf,brotherOf,54,107,0.5046728971962616,nico4-[boyFirstCousinOnceRemovedOf]->johanna22-[secondAuntOf]->elias6 => nico4-[brotherOf]->elias6,nico4-[boyFirstCousinOnceRemovedOf]->johanna22-[secondAuntOf]->lisa5 => nico4-[brotherOf]->lisa5,elias6-[boyFirstCousinOnceRemovedOf]->johanna22-[secondAuntOf]->lisa5 => elias6-[brotherOf]->lisa5
sonOf,grandmotherOf,uncleOf,253,506,0.5,luis14-[sonOf]->emma7-[grandmotherOf]->johanna22 => luis14-[uncleOf]->johanna22,luis14-[sonOf]->emma7-[grandmotherOf]->oskar24 => luis14-[uncleOf]->oskar24,luis14-[sonOf]->emma7-[grandmotherOf]->adam9 => luis14-[uncleOf]->adam9
brotherOf,greatUncleOf,grandfatherOf,102,204,0.5,simon54-[brotherOf]->philipp70-[greatUncleOf]->felix65 => simon54-[grandfatherOf]->felix65,simon54-[brotherOf]->philipp70-[greatUncleOf]->oliver71 => simon54-[grandfatherOf]->oliver71,simon54-[brotherOf]->philipp70-[greatUncleOf]->jakob78 => simon54-[grandfatherOf]->jakob78
brotherOf,greatUncleOf,greatUncleOf,102,204,0.5,jonas101-[brotherOf]->jonathan84-[greatUncleOf]->gertrude97 => jonas101-[greatUncleOf]->gertrude97,jonathan84-[brotherOf]->jonas101-[greatUncleOf]->gertrude97 => jonathan84-[greatUncleOf]->gertrude97,theodor105-[brotherOf]->adam125-[greatUncleOf]->luca129 => theodor105-[greatUncleOf]->luca129
